u	du_dxi1	du_dxi2	d2u_dxi1xi2	du_dxi3	d2u_dxi2dxi3	d2u_dxi1dxi3	d3u_dxi	Coord	Node	Element
-3.699389	-0.687945	0.387680	0.105616	0.512779	-0.135402	-0.383814	-0.285507	1	5	10
1.031846	0.158357	-0.506334	0.025188	0.487436	0.055603	0.312650	0.242303	2	5	10
2.865325	1.114821	0.329485	-0.055847	0.095353	0.267955	0.048655	0.440527	3	5	10
-4.380510	-0.675683	0.515988	0.173313	0.464264	-0.423309	0.242804	-0.350668	1	6	10
1.024271	-0.168631	-0.572555	-0.194582	0.569041	-0.167571	-0.058133	-0.934455	2	6	10
3.991345	1.120372	0.282794	-0.046895	0.256479	0.877466	0.326309	1.110293	3	6	10
-3.233632	-0.526648	0.536416	0.188880	0.491514	0.003373	-0.340104	0.313099	1	7	10
0.568675	0.170406	-0.387763	0.006107	0.493200	0.088557	0.413200	-0.137243	2	7	10
3.148664	0.905910	0.278354	-0.299864	0.118857	-0.017239	-0.015423	-0.369335	3	7	10
-3.753115	-0.483558	0.711503	0.195834	0.449054	0.102193	0.387041	0.095512	1	8	10
0.525019	-0.279561	-0.385752	0.000050	0.578843	0.252506	-0.319640	0.402363	2	8	10
4.066148	0.906641	-0.042275	-0.307030	0.251672	-0.483555	0.262434	-0.706412	3	8	10
-3.288692	-0.381185	0.539040	0.030795	0.517951	-0.212585	0.118484	-0.219438	1	1	11
-0.182069	0.402840	-0.476273	-0.048096	0.420358	0.075063	-0.171812	0.319325	2	1	11
2.301604	0.697863	0.408187	-0.132878	0.035742	0.151014	0.228619	-0.125930	3	1	11
-3.725146	-0.465790	0.545301	-0.027127	0.491514	-0.050820	-0.306014	0.448747	1	2	11
0.075474	0.087308	-0.452824	0.081675	0.493200	0.122396	0.418498	-0.330966	2	2	11
3.029807	0.757364	0.251268	-0.168074	0.118857	0.119945	-0.112567	0.009851	3	2	11
-2.752848	-0.317197	0.500437	0.109057	0.439509	0.043497	0.035703	0.030616	1	3	11
-0.616170	0.395734	-0.432122	0.078084	0.450474	0.012119	0.108845	0.193498	2	3	11
2.756205	0.572951	0.496301	-0.094749	0.033789	-0.173279	0.119603	-0.295210	3	3	11
-3.175704	-0.494445	0.531125	-0.033275	0.499817	0.145349	-0.052072	0.110350	1	4	11
-0.343881	0.140867	-0.384806	0.012525	0.626010	0.056502	0.278130	-0.001597	2	4	11
3.325070	0.564508	0.371573	-0.167230	0.140653	-0.278076	0.050007	0.187279	3	4	11
-2.770741	-0.420195	0.432108	0.142205	0.517951	-0.020549	-0.144970	0.299800	1	5	11
0.238289	0.445767	-0.446652	0.015036	0.420358	-0.025587	0.176076	-0.096120	2	5	11
2.337346	0.781461	0.439190	-0.130701	0.035742	-0.056986	-0.017123	0.099043	3	5	11
-3.233632	-0.491614	0.542578	0.030963	0.491514	0.117547	0.187022	0.011355	1	6	11
0.568675	0.174283	-0.348320	0.113091	0.493200	0.029716	-0.146127	0.026321	2	6	11
3.148664	0.848871	0.284781	-0.162623	0.118857	-0.045582	0.285773	0.048519	3	6	11
-2.313339	-0.286520	0.453685	0.111251	0.439509	-0.054567	0.068054	-0.006746	1	7	11
-0.165696	0.497705	-0.413669	0.083039	0.450474	-0.014248	0.034832	-0.122130	2	7	11
2.789994	0.677831	0.447917	-0.054359	0.033789	-0.047827	0.114236	0.292214	3	7	11
-2.675886	-0.461405	0.527978	0.020250	0.499817	-0.095011	0.072731	-0.175172	1	8	11
0.282128	0.327591	-0.295194	0.148542	0.626010	0.064863	0.199167	0.416199	2	8	11
3.465722	0.692081	0.359910	-0.117049	0.140653	0.186478	0.300508	0.377964	3	8	11
-3.723553	-0.415850	0.380875	0.011661	0.595871	-0.029899	0.209790	-0.072140	1	1	12
0.313543	0.426148	-0.524148	-0.018425	0.433225	-0.052758	-0.328226	0.196165	2	1	12
1.964254	0.777081	0.361229	-0.040464	-0.012066	-0.096216	0.243507	-0.223330	3	1	12
-4.212168	-0.517095	0.411784	0.044043	0.512779	0.072745	-0.380738	0.066057	1	2	12
0.544409	0.072776	-0.503563	0.002613	0.487436	-0.055266	0.289329	0.051139	2	2	12
2.769973	0.821333	0.326965	-0.016436	0.095353	-0.286941	-0.013192	-0.036464	3	2	12
-3.288692	-0.381185	0.473871	0.051110	0.517951	-0.013758	0.118484	0.024269	1	3	12
-0.182069	0.402840	-0.445837	-0.032339	0.420358	-0.063147	-0.171812	0.171792	2	3	12
2.301604	0.697863	0.356374	-0.105811	0.035742	-0.050480	0.228619	0.078587	3	3	12
-3.725146	-0.465790	0.526614	0.057064	0.491514	0.005960	-0.306014	-0.127751	1	4	12
0.075474	0.087308	-0.435843	0.011385	0.493200	0.036298	0.418498	0.207899	2	4	12
3.029807	0.757364	0.239919	-0.111892	0.118857	0.084778	-0.112567	-0.027371	3	4	12
-3.127682	-0.500696	0.323401	0.026534	0.595871	-0.038520	-0.282904	-0.095697	1	5	12
