u	du_dxi1	du_dxi2	d2u_dxi1xi2	du_dxi3	d2u_dxi2dxi3	d2u_dxi1dxi3	d3u_dxi	Coord	Node	Element
-3.014483	0.119318	1.111271	0.432070	0.610121	0.147635	0.153976	-0.261220	2	8	6
-3.014483	0.119318	1.111271	0.432070	0.610121	0.147635	0.153976	-0.261220	3	8	6
-4.844774	-0.637467	0.543967	0.243773	0.464264	-0.054679	-0.024600	-0.190957	1	1	7
-4.844774	-0.637467	0.543967	0.243773	0.464264	-0.054679	-0.024600	-0.190957	2	1	7
-4.844774	-0.637467	0.543967	0.243773	0.464264	-0.054679	-0.024600	-0.190957	3	1	7
-5.523447	-0.702870	0.852543	0.277277	0.447436	-0.177225	-0.127081	0.125398	1	2	7
-5.523447	-0.702870	0.852543	0.277277	0.447436	-0.177225	-0.127081	0.125398	2	2	7
-5.523447	-0.702870	0.852543	0.277277	0.447436	-0.177225	-0.127081	0.125398	3	2	7
-4.202169	-0.360102	0.691228	0.248627	0.449054	0.045161	-0.112245	0.055019	1	3	7
-4.202169	-0.360102	0.691228	0.248627	0.449054	0.045161	-0.112245	0.055019	2	3	7
-4.202169	-0.360102	0.691228	0.248627	0.449054	0.045161	-0.112245	0.055019	3	3	7
-4.532076	-0.397970	1.029065	0.294043	0.383425	0.029178	0.034798	0.069263	1	4	7
-4.532076	-0.397970	1.029065	0.294043	0.383425	0.029178	0.034798	0.069263	2	4	7
-4.532076	-0.397970	1.029065	0.294043	0.383425	0.029178	0.034798	0.069263	3	4	7
-4.380510	-0.709848	0.489103	0.132782	0.464264	-0.055032	-0.104647	-0.064513	1	5	7
-4.380510	-0.709848	0.489103	0.132782	0.464264	-0.055032	-0.104647	-0.064513	2	5	7
-4.380510	-0.709848	0.489103	0.132782	0.464264	-0.055032	-0.104647	-0.064513	3	5	7
-5.076010	-0.686776	0.672463	0.205000	0.447436	-0.192565	0.082665	-0.216392	1	6	7
-5.076010	-0.686776	0.672463	0.205000	0.447436	-0.192565	0.082665	-0.216392	2	6	7
-5.076010	-0.686776	0.672463	0.205000	0.447436	-0.192565	0.082665	-0.216392	3	6	7
-3.753115	-0.477944	0.733414	0.281114	0.449054	0.039033	-0.123509	0.016734	1	7	7
-3.753115	-0.477944	0.733414	0.281114	0.449054	0.039033	-0.123509	0.016734	2	7	7
-3.753115	-0.477944	0.733414	0.281114	0.449054	0.039033	-0.123509	0.016734	3	7	7
-4.148651	-0.353026	1.089595	0.393083	0.383425	0.096103	0.049917	0.148490	1	8	7
-4.148651	-0.353026	1.089595	0.393083	0.383425	0.096103	0.049917	0.148490	2	8	7
